f2_oo matrix:
2 2 2
  -6.0337323498222284e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -6.0337323498222284e-01 
f2_ov matrix:
2 2 6
  -2.3779852714597462e-16    7.8438714884217524e-04   -5.0407821325228740e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -2.3779852714597462e-16    7.8438714884217524e-04   -5.0407821325228740e-17

f2_vv matrix:
2 6 6
   2.3482345754091252e-01   -1.0973546196917009e-16   -1.4527588677389621e-02
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -8.7036884489979237e-17    8.1013845155792896e-01   -6.8966002699888868e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -8.1279562217799316e-03   -4.3746762597834911e-17    1.3430276613961838e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   2.3482345754091252e-01   -1.0973546196917009e-16   -1.4527588677389621e-02
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -8.7036884489979237e-17    8.1013845155792896e-01   -6.8966002699888868e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -8.1279562217799316e-03   -4.3746762597834911e-17    1.3430276613961838e+00

