F_oo matrix:
2 2 2
  -4.6841383133935416e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -4.6841383133935416e-01 
F_ov matrix:
2 2 6
   7.8062556418956319e-17    4.1633363423443370e-17    1.1796119636642288e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.8062556418956319e-17    4.1633363423443370e-17    1.1796119636642288e-16

F_vv matrix:
2 6 6
   9.3670479438395404e-02    6.9388939039072284e-18   -1.1796119636642288e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   6.9388939039072284e-18    1.0197623290946658e+00    1.3183898417423734e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -1.1796119636642288e-16    1.3183898417423734e-16    1.0424546355613797e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   9.3670479438395404e-02    6.9388939039072284e-18   -1.1796119636642288e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   6.9388939039072284e-18    1.0197623290946658e+00    1.3183898417423734e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -1.1796119636642288e-16    1.3183898417423734e-16    1.0424546355613797e+00

