f2_oo matrix:
2 2 2
  -4.7933569953416544e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -4.7933569953416544e-01 
f2_ov matrix:
2 2 6
   3.6235310740152773e-17   -1.3479840096955044e-16    2.9425624336592172e-03
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.6235310740152773e-17   -1.3479840096955044e-16    2.9425624336592172e-03

f2_vv matrix:
2 6 6
   8.6636810871458914e-02    3.5209365341385718e-02    6.0506150970632399e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   1.1053789771293345e-02    1.0230232208133114e+00    5.6283193258794356e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   1.1217611207428652e-16    5.5745692717450302e-16    1.0497219101929340e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   8.6636810871458914e-02    3.5209365341385718e-02    6.0506150970632399e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   1.1053789771293345e-02    1.0230232208133114e+00    5.6283193258794356e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   1.1217611207428652e-16    5.5745692717450302e-16    1.0497219101929340e+00

