F_oo matrix:
2 4 4
  -2.3708993894652353e+00   -7.8062556418956319e-17    0.0000000000000000e+00
   0.0000000000000000e+00   -7.8062556418956319e-17   -3.1665711685981573e-01
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -2.3708993894652353e+00   -7.8062556418956319e-17
   0.0000000000000000e+00    0.0000000000000000e+00   -7.8062556418956319e-17
  -3.1665711685981573e-01 
F_ov matrix:
2 4 8
  -2.8254308614972246e-16    4.3372942952197636e-18    2.7618488831367407e-16
  -2.7321894746634712e-16    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    1.0408340855860843e-17
  -2.3501911277811437e-18    1.1952788822905790e-16    1.6653345369377348e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -2.8254308614972246e-16
   4.3372942952197636e-18    2.7618488831367407e-16   -2.7321894746634712e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    1.0408340855860843e-17   -2.3501911277811437e-18
   1.1952788822905790e-16    1.6653345369377348e-16 
F_vv matrix:
2 8 8
   7.6848424957657355e-02    7.3226498828700145e-19    2.6206252016141337e-17
   5.8980598183211441e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    7.3226498828700145e-19
   1.5793872474873266e-01   -2.1998777420926439e-17   -2.1052948049479875e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    2.6206252016141337e-17   -2.1998777420926439e-17
   1.5793872427872607e-01    1.7601056628637334e-16    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   5.8980598183211441e-17   -2.1052948049479875e-18    1.7601056628637334e-16
   6.1299922910312710e-01    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.6848424957657355e-02    7.3226498828700145e-19    2.6206252016141337e-17
   5.8980598183211441e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    7.3226498828700145e-19
   1.5793872474873266e-01   -2.1998777420926439e-17   -2.1052948049479875e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    2.6206252016141337e-17   -2.1998777420926439e-17
   1.5793872427872607e-01    1.7601056628637334e-16    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   5.8980598183211441e-17   -2.1052948049479875e-18    1.7601056628637334e-16
   6.1299922910312710e-01 
