f2_oo matrix:
2 4 4
  -2.3460055322858420e+00    3.7521988382778520e-04    0.0000000000000000e+00
   0.0000000000000000e+00    3.3055051664183986e-04   -3.2015284750787276e-01
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -2.3460055322858420e+00    3.7521988382778520e-04
   0.0000000000000000e+00    0.0000000000000000e+00    3.3055051664183986e-04
  -3.2015284750787276e-01 
f2_ov matrix:
2 4 8
   4.1141771724782968e-06    6.2742333477002240e-18    3.0297902104349912e-16
   1.2330423300379941e-04    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -3.0800183209222110e-04
   2.8761215526525804e-18    3.3531984784923101e-17    8.1997759067898050e-04
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    4.1141771724782968e-06
   6.2742333477002240e-18    3.0297902104349912e-16    1.2330423300379941e-04
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -3.0800183209222110e-04    2.8761215526525804e-18
   3.3531984784923101e-17    8.1997759067898050e-04 
f2_vv matrix:
2 8 8
   8.1684490486932979e-02   -1.1051826035805555e-17    1.6184681909796554e-18
  -6.5303456361831000e-03    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.1144825744762582e-17
   1.6369189449363930e-01   -2.4118691042890873e-17   -2.7103231576679452e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    2.2674306324808737e-18   -2.4118691043042717e-17
   1.6369189402466924e-01    1.1025342012266452e-17    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -3.7173856837461688e-03   -1.3600720254972203e-18    1.5246845698011899e-17
   6.0974125371805088e-01    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   8.1684490486932979e-02   -1.1051826035805555e-17    1.6184681909796554e-18
  -6.5303456361831000e-03    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.1144825744762582e-17
   1.6369189449363930e-01   -2.4118691042890873e-17   -2.7103231576679452e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    2.2674306324808737e-18   -2.4118691043042717e-17
   1.6369189402466924e-01    1.1025342012266452e-17    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -3.7173856837461688e-03   -1.3600720254972203e-18    1.5246845698011899e-17
   6.0974125371805088e-01 
